%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
114.0, -133715.24318638362, -131591.3580764959, -130839.19952383036, -131706.1789877628, -124889.81335041684, -131195.79925487033, -107849.02219164636, -163140.510098995, -133846.11265016947, -131809.17582621286, -131972.41061596997, -132608.16128351228, -133257.27829423884, -76186.12214161422, -133137.31648174723, -129385.26325050155, 0.098, 0.87, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070314734E9, 0.0, 2024-04-26 12:01:47.031
116.0, -133650.13255478532, -131551.41550915426, -130777.64281960046, -131641.78361198708, -124826.37909965267, -131131.38152735014, -107854.31955508227, -163145.58394498634, -133801.9903066147, -131765.16524138037, -131928.131810204, -132563.7483672796, -133213.06654370626, -76184.31165031334, -133094.19996669292, -129342.30319765845, 0.098, 0.87, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070314853E9, 0.0, 2024-04-26 12:01:47.031
118.0, -133666.56108696, -131536.9986339806, -130786.02472377119, -131657.20631566123, -124839.52192539239, -131147.02774846886, -107849.24570909092, -163140.8006716729, -133758.53851539356, -131721.95931934827, -131885.19410910536, -132521.34710804786, -133169.7265112074, -76184.15518810216, -133049.22825684884, -129297.39854304773, 0.098, 0.87, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070314996E9, 0.0, 2024-04-26 12:01:47.031
120.0, -133707.7553519911, -131590.37459973988, -130832.31518653814, -131699.6299266374, -124882.3255160243, -131189.3619524672, -107861.11448539668, -163152.20006134512, -133818.44119053378, -131782.53254682216, -131945.47676390133, -132581.36154191036, -133229.6515380921, -76189.47490328252, -133108.8180075667, -129356.54125887649, 0.098, 0.87, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070315113E9, 0.0, 2024-04-26 12:01:47.031
122.0, -133682.6543429678, -131559.86446855837, -130806.61068041452, -131673.4336821358, -124858.29739073485, -131163.43392889906, -107854.43131380455, -163145.78511068644, -133818.35178355596, -131781.5490700661, -131945.07443250113, -132581.13802446582, -133229.27155843636, -76195.48752254099, -133108.5721383777, -129357.2788664435, 0.10200000000000001, 0.874, 0.466, 192.0, 1.5, 24.0, 13.5, 40.0, 7.0, 72.0, 0.0, 0.0, 0.0, 1.7141509070315273E9, 0.0, 2024-04-26 12:01:47.031
124.0, -133597.5836035709, -131502.0852091414, -130725.09386838603, -131589.07819856147, -124773.67368622705, -131079.36901800265, -107854.18544461555, -163145.1145583528, -133747.04971874354, -131711.29753724308, -131874.59938223354, -132509.90301488675, -133158.43888025748, -76183.79756019087, -133039.7958206887, -129289.28485981046, 0.10200000000000001, 0.874, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070315444E9, 0.0, 2024-04-26 12:01:47.031
126.0, -133561.016149642, -131446.49642068107, -130683.02788532113, -131552.04135799903, -124735.09457529719, -131041.81808731772, -107846.58585150074, -163137.24674430452, -133683.14608134583, -131646.7233475117, -131809.80167505762, -132445.88761876675, -133094.0658562262, -76185.02690613591, -132974.81929955713, -129224.1518764677, 0.10200000000000001, 0.874, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070315616E9, 0.0, 2024-04-26 12:01:47.031
128.0, -133563.81011769894, -131456.75587138603, -130689.53224295763, -131555.86350630087, -124738.00030207638, -131045.19320073047, -107847.72579046796, -163138.0514071049, -133681.6038109784, -131645.24813237766, -131808.32645992356, -132444.85943852182, -133092.5682893477, -76177.1814438321, -132973.72406407882, -129221.24614968851, 0.10200000000000001, 0.874, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070315795E9, 0.0, 2024-04-26 12:01:47.031
130.0, -133553.19303908266, -131434.024147275, -130676.12119628444, -131544.57587535094, -124726.66796763755, -131033.63734884709, -107841.82492993175, -163131.9046773797, -133675.39002601983, -131637.89440845186, -131801.0621429756, -132437.39395587373, -133086.13098694457, -76181.36122004523, -132966.50445061977, -129214.40651588519, 0.10200000000000001, 0.874, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714150907031597E9, 0.0, 2024-04-26 12:01:47.031
132.0, -133554.33297804988, -131442.04842353446, -130678.60223991898, -131545.0005584956, -124726.82442984873, -131035.60430235915, -107842.8084066878, -163133.5587064694, -133663.34243575842, -131626.7185362242, -131789.59569807, -132426.19573190162, -133074.41867284998, -76172.86755715222, -132954.05452895816, -129202.56009132387, 0.106, 0.876, 0.47000000000000003, 192.0, 1.5, 40.0, 13.5, 48.0, 7.0, 88.0, 0.0, 0.0, 0.0, 1.7141509070316148E9, 0.0, 2024-04-26 12:01:47.031
134.0, -133619.01892650354, -131485.25434556656, -130740.38246159346, -131610.29000404954, -124791.13039864665, -131100.8490444242, -107844.66360147759, -163135.77152917048, -133702.18976762175, -131667.10813845493, -131829.80648634513, -132466.1606509877, -133114.5177024028, -76184.42340903562, -132992.85715733256, -129241.07214702037, 0.106, 0.876, 0.47000000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714150907031634E9, 0.0, 2024-04-26 12:01:47.031
136.0, -133595.10255993635, -131478.25824955205, -130717.67308922687, -131583.9149455923, -124765.18002333403, -131074.60809643366, -107842.51783400988, -163135.16803207019, -133722.03811669804, -131684.78836831907, -131847.77728888718, -132484.28791574098, -133132.84613285615, -76178.38843803268, -133011.83378837514, -129260.67462690767, 0.106, 0.876, 0.47000000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070316527E9, 0.0, 2024-04-26 12:01:47.031
138.0, -133753.19644846875, -131591.3580764959, -130864.07701540913, -131741.18181957983, -124917.64127226369, -131231.98672914348, -107849.93861316904, -163142.4099972737, -133763.00886428464, -131725.06621182756, -131887.25046959525, -132525.66099472775, -133173.86158393163, -76190.34662131628, -133049.89880918252, -129298.00204014803, 0.106, 0.876, 0.47000000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070316703E9, 0.0, 2024-04-26 12:01:47.031
140.0, -133739.0254424841, -131617.75548669763, -130867.20625963286, -131729.2459880407, -124912.72388848352, -131219.0227173594, -107848.97748815746, -163142.87938390725, -133907.1552642769, -131868.13972808598, -132030.94983469843, -132668.17571737478, -133317.6727077571, -76192.06770563933, -133195.02868593083, -129442.01432967358, 0.106, 0.876, 0.47000000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070316892E9, 0.0, 2024-04-26 12:01:47.031
142.0, -133660.03437757902, -131547.34749166341, -130783.05194175863, -131648.9808737017, -124833.37519566718, -131138.53408557584, -107850.67622073606, -163143.68404670764, -133799.50926298014, -131760.35961632247, -131923.21442642386, -132559.9485707222, -133209.51261633786, -76193.09588588428, -133089.88608001306, -129338.81632552342, 0.106, 0.874, 0.466, 192.0, 1.5, 40.0, 13.5, 40.0, 7.0, 72.0, 0.0, 0.0, 0.0, 1.714150907031706E9, 0.0, 2024-04-26 12:01:47.031
144.0, -133671.67963644024, -131549.15798296427, -130793.624316886, -131661.29668489657, -124844.75223359493, -131150.87224851517, -107848.955136413, -163141.82885191785, -133774.98939931268, -131734.43159275432, -131897.55462378915, -132534.71345123215, -133184.76923522583, -76186.65858348114, -133062.99693143333, -129310.67547925419, 0.106, 0.874, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714150907031724E9, 0.0, 2024-04-26 12:01:47.031
146.0, -133637.81674359046, -131526.2921483865, -130761.862488015, -131626.42796354627, -124812.56572157929, -131116.204692865, -107849.37981955765, -163141.3594652843, -133786.41114072932, -131746.38977603792, -131908.99871695027, -132545.91167520426, -133196.12392140913, -76194.43699055159, -133074.77630076127, -129323.05834568244, 0.106, 0.874, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070317426E9, 0.0, 2024-04-26 12:01:47.031
148.0, -133586.92182146572, -131476.62657220682, -130711.25813856818, -131576.58357341096, -124762.52016574386, -131065.17566027353, -107844.7530084554, -163136.77735767094, -133722.3063376315, -131680.51918512813, -131843.4634022073, -132480.59987790583, -133130.67801364398, -76182.72467645702, -133009.55391044068, -129258.0594728064, 0.106, 0.874, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714150907031761E9, 0.0, 2024-04-26 12:01:47.031
150.0, -133591.794501757, -131477.31947628493, -130713.18038859134, -131580.51748043508, -124766.54347974581, -131068.86369810865, -107851.27971783635, -163141.3147617954, -133702.83796821095, -131659.9779319737, -131822.65392811943, -132460.17038347368, -133111.41080992352, -76191.5312637724, -132990.62198288704, -129237.69703360762, 0.106, 0.874, 0.466, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714150907031782E9, 0.0, 2024-04-26 12:01:47.031
152.0, -133499.6159076233, -131398.35076312433, -130626.6791375493, -131488.62945897933, -124676.39889435755, -130977.17684235297, -107837.95807814099, -163128.68602617813, -133675.01004636407, -131630.42892580378, -131793.73077079427, -132430.64372904823, -133082.73352178736, -76183.99872589097, -132961.52001160622, -129209.71264954958, 0.10300000000000001, 0.873, 0.46900000000000003, 192.0, 1.5, 16.0, 13.5, 32.0, 7.0, 96.0, 0.0, 0.0, 0.0, 1.7141509070318017E9, 0.0, 2024-04-26 12:01:47.031
